,Fuel,Driven_kilometers,Num_of_owners,Transmission,Location,Name,Year,Company,Price1
250,Petrol,"40,438 km",2nd Owner,,DL-10,Hyundai Eon ERA,2014,Hyundai,"2,39,899"
251,Petrol,"62,808 km",1st Owner,,HR-26,Honda City S,2010,Honda,"3,58,199"
252,Petrol,"34,013 km",1st Owner,MANUAL,DL-8C,Hyundai Grand i10,2016,Hyundai,"3,70,499"
253,Petrol,"5,148 km",2nd Owner,MANUAL,HR-26,Mahindra XUV 3OO,2020,Mahindra,"9,25,000"
254,Petrol,"62,729 km",1st Owner,MANUAL,HR-26,Honda City 1.5,2012,Honda,"4,13,899"
255,Petrol,"11,373 km",1st Owner,MANUAL,DL-1C,Maruti Alto 800,2018,Maruti,"3,50,000"
256,Petrol,"12,117 km",1st Owner,MANUAL,DL-6C,Maruti Baleno DELTA,2017,Maruti,"5,53,499"
257,Petrol,"47,405 km",1st Owner,MANUAL,DL-3C,Honda City S,2010,Honda,"3,66,799"
258,Petrol,"15,847 km",2nd Owner,MANUAL,UP-80,Hyundai Elite i20,2018,Hyundai,"6,50,000"
259,Diesel,"58,080 km",1st Owner,MANUAL,DL-7C,Hyundai Elite i20,2015,Hyundai,"5,06,599"
260,Petrol,"6,037 km",1st Owner,MANUAL,UP-71,Mahindra XUV 3OO,2020,Mahindra,"7,67,399"
261,Diesel,"44,379 km",2nd Owner,MANUAL,DL-8C,Maruti Swift VDI,2015,Maruti,"4,48,399"
262,Diesel,"52,072 km",,,DL-9C,Maruti Swift Dzire,2012,Maruti,"3,67,999"
263,Petrol,"7,242 km",,,DL-12,Maruti New Wagon-R,2020,Maruti,"5,30,899"
264,Petrol,"32,716 km",,,HR-12,Renault Kwid RXT,2018,Renault,"3,06,399"
265,Diesel,"61,164 km",,MANUAL,DL-2C,Maruti Swift Dzire,2012,Maruti,"3,17,699"
266,Petrol,"26,788 km",,MANUAL,HR-26,Maruti Baleno DELTA,2017,Maruti,"5,40,999"
267,Petrol,"31,905 km",,MANUAL,DL-8C,Datsun Redi Go,2016,Datsun,"2,36,499"
268,Petrol,"33,427 km",,MANUAL,DL-9C,Maruti Baleno ZETA,2016,Maruti,"5,24,499"
269,Petrol,"12,481 km",,MANUAL,DL-3C,Hyundai Elite i20,2018,Hyundai,"6,25,499"
