,Fuel,Driven_kilometers,Num_of_owners,Transmission,Location,Name,Year,Company,Price1
3022,PETROL,"80,000 KM",3rd,MANUAL,"Kunnukara, Varappuzha",Maruti Suzuki,2013),Maruti," 3,50,000"
3023,DIESEL,"66,000 KM",2nd,MANUAL,"Thirumala, Thiruvananthapuram",Hyundai I20,2011),Hyundai," 2,60,000"
3024,DIESEL,"138,000 KM",2nd,MANUAL,"Aluthurupudu, Malappuram",Toyota Etios,2015),Toyota," 4,15,000"
3025,DIESEL,"115,600 KM",2nd,MANUAL,"Koomully, Atholi",Mahindra Thar,2016),Mahindra," 6,25,000"
3026,DIESEL,120000.0 KM,2nd,MANUAL,"Dubaipadi Ponniakurussi, Perinthalmanna",Toyota Corolla,2010),Toyota," 5,35,000"
3027,PETROL,"88,000 KM",4+,MANUAL,"Kakur, Perinthalmanna",Maruti Suzuki,2011),Maruti," 1,60,000"
3028,PETROL,"62,803 KM",1st,MANUAL,"Palttumuri Village, Kattakampal",Maruti Suzuki,2010),Maruti," 3,60,000"
3029,DIESEL,"120,000 KM",2nd,MANUAL,"Thiruvambadi, Kozhikode",Maruti Suzuki,2011),Maruti," 2,40,000"
3030,DIESEL,"135,000 KM",2nd,MANUAL,"Ala Part, Chengannur",Chevrolet Optra,2007),Chevrolet," 1,45,000"
3031,PETROL,82000.0 KM,2nd,MANUAL,"Kazhakoottam, Thiruvananthapuram",Maruti Suzuki,2000),Maruti," 52,000"
3032,PETROL,136000.0 KM,1st,MANUAL,"Chakkanthara, Palakkad",Maruti Suzuki,2014),Maruti," 3,25,000"
3033,DIESEL,"75,900 KM",1st,MANUAL,"Ernakulam, Kochi",Toyota Etios,2014),Toyota," 5,85,000"
3034,PETROL,80000.0 KM,1st,MANUAL,"Chelamattom, Perumbavoor",Maruti Suzuki,2005),Maruti," 97,000"
3035,DIESEL,50000.0 KM,1st,MANUAL,"Mevaram, Kollam",Maruti Suzuki,2017),Maruti," 7,65,000"
3036,DIESEL,98462.0 KM,2nd,MANUAL,"Ayathil, Kollam",Honda Amaze,2014),Honda," 3,90,000"
3037,PETROL,"48,256 KM",1st,MANUAL,"Badagara, Vadakara",Hyundai Elite,2015),Hyundai," 5,70,000"
3038,PETROL,"83,000 KM",2nd,MANUAL,"Mokkam, Kozhikode",Maruti Suzuki,2005),Maruti," 1,30,000"
3039,PETROL,16200.0 KM,1st,AUTOMATIC,"Mankavu, Kozhikode",Maruti Suzuki,2018),Maruti," 4,90,000"
3040,DIESEL,"108,000 KM",2nd,MANUAL,"Koombara, Kozhikode",Toyota Etios,2016),Toyota," 5,90,000"
3041,PETROL,18000.0 KM,1st,AUTOMATIC,"Kazhakoottam, Thiruvananthapuram",Renault Kwid,2017),Renault," 3,89,000"
3042,DIESEL,133 KM,3rd,MANUAL,"Thiruballamal, Chelakkara",Maruti Suzuki,2008),Maruti," 2,10,000"
3043,PETROL,27297.0 KM,2nd,,"Nagampadam, Kottayam",Volkswagen Ameo,2018),Volkswagen," 4,70,000"
3044,PETROL,"125,000 KM",2nd,MANUAL,"Chevayoor, Kozhikode",Honda Civic,2007),Honda," 2,20,000"
3045,DIESEL,"80,000 KM",3rd,MANUAL,"Peroorkada, Thiruvananthapuram",Hyundai Accent,2001),Hyundai," 30,000"
3046,DIESEL,"85,000 KM",2nd,MANUAL,"Changubetty, Kottakal",Volkswagen Polo,2016),Volkswagen," 6,50,000"
3047,PETROL,"85,000 KM",3rd,MANUAL,"Kedamangalam, Paravur",Maruti Suzuki,2005),Maruti," 1,90,000"
3048,PETROL,"100,000 KM",4th,MANUAL,"Haddad Nagar, Pallikkara",Honda City,2006),Honda," 1,49,999"
3049,DIESEL,"77,000 KM",1st,MANUAL,"Ernad, Manjeri",Maruti Suzuki,2016),Maruti," 6,75,000"
3050,PETROL,4817.0 KM,1st,MANUAL,"Nagampadam, Kottayam",Maruti Suzuki,2020),Maruti," 4,75,000"
3051,PETROL,8000.0 KM,1st,AUTOMATIC,"Jawahar Nagar, Kozhikode",Tata Nexon,2019),Tata," 9,75,000"
3052,DIESEL,"17,034 KM",2nd,MANUAL,"Manna, Taliparamba",Toyota Etios,2015),Toyota," 5,50,000"
3053,PETROL,85000.0 KM,1st,AUTOMATIC,"Kazhakoottam, Thiruvananthapuram",Hyundai I10,2012),Hyundai," 2,95,000"
3054,PETROL,"855,854 KM",3rd,MANUAL,"Kozhichena, Thennala",Toyota Corolla,2016),Toyota," 10,00,000"
3055,PETROL,39000.0 KM,1st,,"Palat Nagar, Kozhikode",Hyundai Venue,2019),Hyundai," 7,75,000"
3056,DIESEL,111000.0 KM,3rd,MANUAL,"Meruangade, Manjeri",Maruti Suzuki,2014),Maruti," 3,85,000"
3057,DIESEL,98500.0 KM,1st,MANUAL,"Chathampara, Alamcode Thiruvananthapuram District",Mahindra Xylo,2012),Mahindra," 3,75,000"
3058,PETROL,"30,600 KM",2nd,AUTOMATIC,"Kalady, Thiruvananthapuram",Honda Brio,2015),Honda," 5,20,000"
3059,DIESEL,"10,000 KM",2nd,MANUAL,"Tottakarappio, Ottappalam",Other Brands,2012),Other," 1,20,000"
3060,DIESEL,"117,000 KM",2nd,MANUAL,"Ayathil, Kollam",Toyota Innova,2016),Toyota," 14,80,000"
3061,DIESEL,"194,000 KM",1st,MANUAL,"Mangalapuram, Thiruvananthapuram",Chevrolet Tavera,2004),Chevrolet," 1,35,000"
3062,PETROL,4750.0 KM,1st,MANUAL,"East Nada, Guruvayur",Maruti Suzuki,2020),Maruti," 6,50,000"
3063,DIESEL,"139,000 KM",2nd,MANUAL,"Perumanna, Mavoor",Toyota Innova,2011),Toyota," 5,50,000"
3064,PETROL,81419.0 KM,3rd,MANUAL,"Nagampadam, Kottayam",Maruti Suzuki,2007),Maruti," 1,20,000"
3065,PETROL,49000.0 KM,1st,MANUAL,"Puthiyara, Kozhikode",Hyundai I20,2011),Hyundai," 2,85,000"
3066,PETROL,102000.0 KM,3rd,MANUAL,"Puthiyara, Kozhikode",Maruti Suzuki,2009),Maruti," 2,30,000"
3067,PETROL,12000.0 KM,1st,AUTOMATIC,"Puthiyara, Kozhikode",Hyundai Elite,2018),Hyundai," 7,90,000"
3068,DIESEL,65000.0 KM,1st,MANUAL,"Kodungallur, Edavilangu",Honda Jazz,2016),Honda," 6,10,000"
3069,PETROL,25000.0 KM,1st,MANUAL,"Thripunithura, Kochi",Maruti Suzuki,2020),Maruti," 3,35,000"
3070,DIESEL,95000.0 KM,1st,MANUAL,"Poothole, Thrissur",Maruti Suzuki,2015),Maruti," 5,29,500"
3071,DIESEL,1.0 KM,1st,AUTOMATIC,"Tharekkad, Palakkad",Tata Safari,2021),Tata," 2,00,000"
3072,,1.0 KM,1st,AUTOMATIC,"Tharekkad, Palakkad",Tata Tigor,2021),Tata," 25,000"
3073,DIESEL,1.0 KM,1st,,"Tharekkad, Palakkad",Tata Tiago,2021),Tata," 25,000"
3074,DIESEL,1.0 KM,1st,AUTOMATIC,"Tharekkad, Palakkad",Tata Altroz,2021),Tata," 25,000"
3075,PETROL,23500.0 KM,1st,MANUAL,"Thana, Kannur",Volkswagen Ameo,2017),Volkswagen," 4,99,000"
3076,PETROL,60000.0 KM,1st,AUTOMATIC,"Vattapparamba Mahallu, Kodur",Honda Jazz,2015),Honda," 5,88,000"
3077,DIESEL,45000.0 KM,1st,MANUAL,"Railway Station Square, Aluva",Maruti Suzuki,2016),Maruti," 6,75,000"
3078,PETROL,"51,000 KM",2nd,MANUAL,"Choori, Kasaragod",Maruti Suzuki,2006),Maruti," 90,000"
3079,PETROL,28822.0 KM,1st,MANUAL,"Ayathil, Kollam",Maruti Suzuki,2019),Maruti," 4,50,000"
3080,DIESEL,"20,700 KM",2nd,MANUAL,"Halgalwadi, Kuttippuram",Force Motors,2018),Force," 9,20,000"
3081,PETROL,150000.0 KM,,MANUAL,"Railway Station Square, Aluva",Honda City,2009),Honda," 3,10,000"
3082,PETROL,"72,000 KM",2nd,MANUAL,"Muriyad, Kallettumkara",Hyundai Santro,2009),Hyundai," 1,42,000"
3083,DIESEL,99000.0 KM,1st,MANUAL,"Ernakulam, Kochi",Toyota Innova,2013),Toyota," 8,90,000"
3084,DIESEL,134000.0 KM,2nd,AUTOMATIC,"Edapally, Kochi",Audi A6,2013),Audi," 13,50,000"
3085,DIESEL,182500.0 KM,1st,MANUAL,"Peringavu, Thrissur",Toyota Innova,2011),Toyota," 7,90,000"
3086,PETROL,27000.0 KM,1st,MANUAL,"Edappally, Kochi",Volkswagen Polo,2017),Volkswagen," 6,35,000"
3087,DIESEL,128000.0 KM,2nd,MANUAL,"Peringavu, Thrissur",Hyundai Verna,2011),Hyundai," 3,65,000"
3088,DIESEL,135000.0 KM,4th,MANUAL,"Edappally, Kochi",Toyota Innova,2007),Toyota," 3,50,000"
3089,PETROL,78540.0 KM,2nd,MANUAL,"Kokkal, Thrissur",Maruti Suzuki,2006),Maruti," 1,65,000"
3090,PETROL,36610.0 KM,1st,MANUAL,"Muttathara, Thiruvananthapuram",Maruti Suzuki,2014),Maruti," 4,75,000"
3091,PETROL,171928.0 KM,1st,MANUAL,"Manuti, Thrissur",Chevrolet Spark,2009),Chevrolet," 90,000"
3092,PETROL,27061.0 KM,1st,MANUAL,"Nagampadam, Kottayam",Maruti Suzuki,2018),Maruti," 4,70,000"
3093,DIESEL,"108,500 KM",3rd,MANUAL,"Kalamassery, Kochi",Maruti Suzuki,2012),Maruti," 2,75,000"
3094,DIESEL,"100,000 KM",2nd,MANUAL,"Calicut Medical College, Kozhikode",Maruti Suzuki,2011),Maruti," 2,80,000"
3095,PETROL,17307.0 KM,1st,MANUAL,"Neduvathoor, Kottarakkara",Renault Kwid,2017),Renault," 3,20,000"
3096,DIESEL,"110,000 KM",1st,MANUAL,"Pala, Kottayam",Maruti Suzuki,2015),Maruti," 5,00,000"
3097,DIESEL,34821.0 KM,1st,MANUAL,"Neduvathoor, Kottarakkara",Mahindra Tuv,2018),Mahindra," 7,95,000"
3098,PETROL,57000.0 KM,1st,MANUAL,"Thirvallam, Venganoor",Maruti Suzuki,2012),Maruti," 2,50,000"
3099,DIESEL,"100,000 KM",1st,MANUAL,"Nedumbassery, Kochi",Maruti Suzuki,2014),Maruti," 2,75,000"
3100,PETROL,"98,000 KM",2nd,MANUAL,"Vattapparamba Mahallu, Kodur",Maruti Suzuki,2006),Maruti," 1,00,000"
3101,PETROL,84000.0 KM,1st,,"Kodimatha, Kottayam",Maruti Suzuki,2016),Maruti," 2,59,000"
3102,PETROL,"157,000 KM",3rd,MANUAL,"Edappally, Kochi",Mercedes-Benz E-Class,1996),Mercedes-Benz," 5,00,000"
3103,DIESEL,"125,000 KM",3rd,MANUAL,"Kallumpuram, Kadavallur",Tata Others,2012),Tata," 1,30,000"
3104,DIESEL,"106,000 KM",3rd,MANUAL,"Meenachil, Palai",Maruti Suzuki,2011),Maruti," 2,55,000"
3105,PETROL,45000.0 KM,1st,MANUAL,"Ayyanthole, Thrissur",Tata Tigor,2018),Tata," 4,75,000"
3106,PETROL,67155.0 KM,2nd,MANUAL,"Kalamassery, Kochi",Maruti Suzuki,2010),Maruti," 1,75,000"
3107,PETROL,73000.0 KM,2nd,MANUAL,"Kalamassery, Kochi",Maruti Suzuki,2010),Maruti," 2,25,000"
3108,DIESEL,"90,000 KM",1st,AUTOMATIC,"Chelamattom, Perumbavoor",Skoda Rapid,2016),Skoda," 6,85,000"
3109,PETROL,70000.0 KM,2nd,MANUAL,"Kalamassery, Kochi",Maruti Suzuki,2015),Maruti," 3,35,000"
3110,PETROL,70000.0 KM,1st,MANUAL,"Kalamassery, Kochi",Maruti Suzuki,2014),Maruti," 2,55,000"
3111,PETROL,15000.0 KM,1st,MANUAL,"Kalamassery, Kochi",Hyundai Eon,2015),Hyundai," 2,60,000"
3112,PETROL,640000.0 KM,1st,MANUAL,"Kalamassery, Kochi",Hyundai Santro,2006),Hyundai," 1,10,000"
3113,PETROL,24000.0 KM,2nd,AUTOMATIC,"Kalamassery, Kochi",Maruti Suzuki,2015),Maruti," 4,55,000"
3114,PETROL,"77,203 KM",3rd,MANUAL,"Vellookkara, Avittathur",Maruti Suzuki,1998),Maruti," 30,000"
3115,DIESEL,"114,000 KM",4th,MANUAL,"Nellikkunnu, Kasaragod",Skoda Rapid,2012),Skoda," 3,25,000"
3116,PETROL,27573.0 KM,1st,AUTOMATIC,"Neduvathoor, Kottarakkara",Renault Kwid,2017),Renault," 3,85,000"
3117,DIESEL,33000.0 KM,1st,AUTOMATIC,"Palat Nagar, Kozhikode",Mahindra Nuvosport,2018),Mahindra," 7,00,000"
3118,PETROL,27000.0 KM,2nd,MANUAL,"Edappally, Kochi",Maruti Suzuki,2011),Maruti," 2,00,000"
3119,PETROL,58258.0 KM,3rd,AUTOMATIC,"Manjadi Tiruvalla, Thiruvalla",Honda Jazz,2017),Honda," 6,00,000"
3120,PETROL,67100.0 KM,1st,MANUAL,"Ehylode, Cheruthazham",Maruti Suzuki,2008),Maruti," 1,40,000"
3121,DIESEL,140000.0 KM,1st,MANUAL,"Mongam, Malappuram",Mahindra Xuv500,2012),Mahindra," 5,75,000"
3122,DIESEL,110000.0 KM,2nd,MANUAL,"Mongam, Malappuram",Hyundai I20,2014),Hyundai," 5,10,000"
3123,DIESEL,"120,000 KM",2nd,MANUAL,"Kuttikkattil Junction, Karunagappally",Ford Classic,2011),Ford," 2,20,000"
3124,PETROL,"49,000 KM",3rd,MANUAL,"Meruangade, Manjeri",Maruti Suzuki,2005),Maruti," 60,000"
3125,PETROL,16207.0 KM,3rd,MANUAL,"Nagampadam, Kottayam",Hyundai Eon,2015),Hyundai," 2,40,000"
3126,PETROL,80000.0 KM,1st,MANUAL,"Kannur, Payyannur",Maruti Suzuki,2007),Maruti," 82,000"
3127,PETROL,"90,887 KM",3rd,MANUAL,"Onchiam, Eramala",Maruti Suzuki,2009),Maruti," 1,20,000"
3128,PETROL,"90,000 KM",2nd,MANUAL,"Veloor, Kottayam",Hyundai I10,2007),Hyundai," 1,23,000"
3129,PETROL,"38,000 KM",3rd,MANUAL,"Chathramukku, Nedumangad",Maruti Suzuki,2001),Maruti," 82,500"
3130,PETROL,136 KM,1st,MANUAL,"East Vadama Residents Association, Vadama",Maruti Suzuki,2004),Maruti," 95,000"
3131,DIESEL,"117,000 KM",2nd,MANUAL,"Muvattupuzha, Muvattupuzha",Maruti Suzuki,2009),Maruti," 2,65,000"
3132,PETROL,32000.0 KM,1st,MANUAL,"Nandavanam, Thiruvananthapuram",Maruti Suzuki,2013),Maruti," 2,38,000"
3133,DIESEL,"33,362 KM",3rd,MANUAL,"Peravoor, Kannur",Bajaj Re60,2010),Bajaj," 50,000"
3134,PETROL,"30,800 KM",1st,MANUAL,"Kodushmodu, Changanacheri",Volkswagen Polo,2011),Volkswagen," 3,90,000"
3135,PETROL,55000.0 KM,1st,MANUAL,"Chavittuvary, Kottayam",Maruti Suzuki,2018),Maruti," 5,85,000"
3136,PETROL,27000.0 KM,1st,MANUAL,"Devinagar, Kollam",Maruti Suzuki,2018),Maruti," 7,25,000"
3137,PETROL,68000.0 KM,2nd,MANUAL,"Pallimukku, Kollam",Maruti Suzuki,2010),Maruti," 2,75,000"
3138,PETROL,"150,000 KM",2nd,MANUAL,"Varkala Kallambalam, Alamcode Thiruvananthapuram District",Maruti Suzuki,2009),Maruti," 2,45,000"
3139,PETROL,64331.0 KM,1st,MANUAL,"Nagampadam, Kottayam",Hyundai Eon,2017),Hyundai," 2,60,000"
3140,DIESEL,95856.0 KM,2nd,MANUAL,"Vembayam, Thiruvananthapuram",Ashok Leyland,2011),Ashok," 2,90,000"
3141,DIESEL,"29,500 KM",1st,AUTOMATIC,"Muringoor, Koratty",Kia Seltos,2020),Kia," 15,95,000"
3142,PETROL,"25,000 KM",2nd,MANUAL,"Changubetty, Kottakal",Datsun Go,2016),Datsun," 2,75,000"
3143,PETROL,80000.0 KM,1st,MANUAL,"Ernakulam, Kochi",Nissan Micra,2016),Nissan," 3,65,000"
3144,DIESEL,"55,000 KM",2nd,MANUAL,"Manjadi Tiruvalla, Thiruvalla",Force Motors,2011),Force," 4,50,000"
3145,DIESEL,"100,000 KM",4+,MANUAL,"Kakur, Perinthalmanna",Mahindra Bolero,2013),Mahindra," 3,60,000"
3146,DIESEL,132000.0 KM,2nd,MANUAL,"Ponjassery, Vengola",Maruti Suzuki,2012),Maruti," 2,85,000"
3147,PETROL,114000.0 KM,3rd,MANUAL,"Ponjassery, Vengola",Hyundai Santro,2005),Hyundai," 92,000"
3148,DIESEL,128000.0 KM,3rd,MANUAL,"Ponjassery, Vengola",Tata Indica,2008),Tata," 55,000"
3149,DIESEL,80000.0 KM,2nd,MANUAL,"Kakkanad, Kochi",Mahindra Tuv,2016),Mahindra," 5,45,000"
3150,DIESEL,125000.0 KM,2nd,MANUAL,"Kalamassery, Kochi",Ford Fiesta,2006),Ford," 1,65,000"
3151,DIESEL,95000.0 KM,2nd,MANUAL,"Kakkanad, Kochi",Mercedes-Benz Others,2005),Mercedes-Benz," 6,00,000"
3152,DIESEL,89000.0 KM,2nd,MANUAL,"Kakkanad, Kochi",Mahindra Logan,2008),Mahindra," 1,10,000"
3153,DIESEL,100000.0 KM,1st,MANUAL,"Kadathy Palam, Muvattupuzha",Hyundai I20,2010),Hyundai," 2,38,000"
3154,DIESEL,21000.0 KM,1st,MANUAL,"Kadathy Palam, Muvattupuzha",Maruti Suzuki,2017),Maruti," 6,75,000"
3155,DIESEL,77000.0 KM,,MANUAL,"Malappuram Up Hill, Malappuram",Bmw 3,2012),Bmw," 11,00,000"
3156,PETROL,13006.0 KM,1st,AUTOMATIC,"North Kalamassery, Kochi",Audi A6,2017),Audi," 38,80,000"
3157,DIESEL,"91,770 KM",1st,MANUAL,"Kakkanad, Kochi",Hyundai Verna,2011),Hyundai," 4,95,000"
3158,DIESEL,75000.0 KM,2nd,AUTOMATIC,"Fathimapuram, Changanacheri",Mercedes-Benz B,2014),Mercedes-Benz," 14,25,000"
3159,DIESEL,107000.0 KM,2nd,MANUAL,"Fathimapuram, Changanacheri",Mahindra Xuv500,2013),Mahindra," 6,75,000"
3160,PETROL,29000.0 KM,1st,MANUAL,"Panmana, Vadakkumthala",Maruti Suzuki,2013),Maruti," 3,85,000"
3161,DIESEL,120000.0 KM,2nd,AUTOMATIC,"Fathimapuram, Changanacheri",Mercedes-Benz Ml,2012),Mercedes-Benz," 19,50,000"
3162,PETROL,"78,000 KM",1st,MANUAL,"Vallarpadam, Kochi",Honda City,2012),Honda," 3,95,000"
3163,PETROL,75 KM,2nd,MANUAL,"Karicode Peroor, Kottamkara",Maruti Suzuki,2012),Maruti," 2,70,000"
3164,DIESEL,"90,000 KM",2nd,MANUAL,"Annakudu, Thodupuzha",Tata Winger,2016),Tata," 9,50,000"
3165,DIESEL,"300,000 KM",4th,MANUAL,"Cherekkad, Kannamangalam Malappuram District",Toyota Qualis,2001),Toyota," 98,000"
3166,PETROL,0 KM,3rd,MANUAL,"Anavoor, Thiruvananthapuram",Maruti Suzuki,1997),Maruti," 33,000"
3167,DIESEL,"71,000 KM",1st,MANUAL,"Kattod, Thiruvalla",Mahindra Xylo,2011),Mahindra," 4,50,000"
3168,PETROL,"54,000 KM",2nd,AUTOMATIC,"Poochatty, Nadathara",Maruti Suzuki,2016),Maruti," 4,30,000"
3169,PETROL,"87,000 KM",3rd,MANUAL,"Changubetty, Kottakal",Maruti Suzuki,2006),Maruti," 80,000"
3170,DIESEL,86000.0 KM,2nd,MANUAL,"Puthiyangadi, Kozhikode",Ford Figo,2012),Ford," 1,99,000"
3171,DIESEL,120000.0 KM,1st,MANUAL,"Puthiyangadi, Kozhikode",Maruti Suzuki,2010),Maruti," 2,49,000"
3172,DIESEL,123000.0 KM,,,"Kadathy Palam, Muvattupuzha",Nissan Micra,2011),Nissan," 2,90,000"
3173,DIESEL,55.0 KM,1st,AUTOMATIC,"Vyttila, Kochi",Hyundai Elite,2020),Hyundai," 30,000"
3174,PETROL,63000.0 KM,1st,MANUAL,"Madannada, Kollam",Maruti Suzuki,2008),Maruti," 1,78,000"
3175,DIESEL,35000.0 KM,1st,MANUAL,"Ernakulam, Kochi",Mahindra Marazzo,2019),Mahindra," 10,50,000"
3176,PETROL,65000.0 KM,1st,MANUAL,"Railway Station Square, Aluva",Honda Jazz,2017),Honda," 5,65,000"
3177,PETROL,46000.0 KM,1st,MANUAL,"Kuttanellur, Thrissur",Maruti Suzuki,2018),Maruti," 4,85,000"
3178,,1.0 KM,,,"Calicut University, Kozhikode",Tata Harrier,2020),Tata," 15,55,555"
3179,DIESEL,146000.0 KM,1st,MANUAL,"Angadipuram, Perinthalmanna",Maruti Suzuki,2012),Maruti," 3,75,000"
3180,PETROL,65000.0 KM,,MANUAL,"Warangod, Malappuram",Maruti Suzuki,2009),Maruti," 1,35,000"
3181,PETROL,20000.0 KM,1st,AUTOMATIC,"Warangod, Malappuram",Datsun Redigo,2018),Datsun," 3,30,000"
3182,DIESEL,95000.0 KM,1st,MANUAL,"Warangod, Malappuram",Volkswagen Polo,2017),Volkswagen," 7,00,000"
3183,DIESEL,30000.0 KM,1st,MANUAL,"Warangod, Malappuram",Jeep Compass,2019),Jeep," 17,00,000"
3184,,89.0 KM,,,"Chonadam, Thalassery",Honda City,2018),Honda," 8,99,999"
3185,,8.0 KM,,,"Kodungallur, Edavilangu",Maruti Suzuki,2019),Maruti," 5,88,888"
3186,DIESEL,100000.0 KM,2nd,MANUAL,"Ernakulam, Kochi",Volkswagen Polo,2010),Volkswagen," 2,55,000"
3187,PETROL,27650.0 KM,1st,MANUAL,"Tharekkad, Palakkad",Toyota Etios,2012),Toyota," 3,97,000"
3188,DIESEL,"175,000 KM",2nd,MANUAL,"Palath, Kozhikode",Mitsubishi Lancer,2003),Mitsubishi," 1,05,000"
3189,DIESEL,41725.0 KM,2nd,AUTOMATIC,"Companypadi, Kochi",Bmw 5,2011),Bmw," 20,00,000"
3190,PETROL,34000.0 KM,1st,AUTOMATIC,"Pattanamtitta, Pathanamthitta",Maruti Suzuki,2017),Maruti," 5,00,000"
3191,DIESEL,33500.0 KM,2nd,MANUAL,"Chathampara, Alamcode Thiruvananthapuram District",Ford Ecosport,2016),Ford," 7,30,000"
3192,PETROL,75000.0 KM,1st,MANUAL,"Kakkanad, Kochi",Hyundai Santro,2007),Hyundai," 1,25,000"
3193,DIESEL,1.0 KM,2nd,MANUAL,"Tharekkad, Palakkad",Tata Indica,2012),Tata," 98,000"
3194,DIESEL,"130,000 KM",1st,MANUAL,"Alappuzha Cantt, Alappuzha",Ashok Leyland,2013),Ashok," 3,00,000"
3195,PETROL,"80,000 KM",2nd,MANUAL,"Kattod, Thiruvalla",Maruti Suzuki,2007),Maruti," 70,000"
3196,DIESEL,"125,000 KM",3rd,MANUAL,"Ponkunnam, Kottayam",Hyundai Verna,2007),Hyundai," 1,30,000"
3197,DIESEL,"92,000 KM",1st,MANUAL,"Thiripayar, Vadakkummuri",Toyota Etios,2013),Toyota," 4,40,000"
3198,PETROL,1 KM,1st,MANUAL,"Tana, Irinjalakuda",Bmw 6,2021),Bmw," 1,11,111"
3199,PETROL,90000.0 KM,2nd,MANUAL,"Chelamattom, Perumbavoor",Hyundai I10,2008),Hyundai," 1,55,000"
3200,PETROL,78000.0 KM,2nd,MANUAL,"Manapully Kavu, Palakkad",Maruti Suzuki,2013),Maruti," 3,25,000"
3201,DIESEL,"98,000 KM",2nd,MANUAL,"Cholakkal, Manjeri",Tata Indica,2010),Tata," 52,999"
3202,PETROL,"50,000 KM",3rd,MANUAL,"Lekshmi Nagar, Thiruvananthapuram",Maruti Suzuki,1990),Maruti," 60,000"
3203,DIESEL,107000.0 KM,,,"Palat Nagar, Kozhikode",Maruti Suzuki,2014),Maruti," 4,15,000"
3204,DIESEL,"170,000 KM",2nd,MANUAL,"Sankaramanglam, Ongallur II",Mahindra Scorpio,2003),Mahindra," 1,15,000"
3205,PETROL,28000.0 KM,1st,,"Palat Nagar, Kozhikode",Honda Amaze,2018),Honda," 6,40,000"
3206,DIESEL,86000.0 KM,1st,,"Palat Nagar, Kozhikode",Maruti Suzuki,2018),Maruti," 6,90,000"
3207,PETROL,"118,000 KM",2nd,MANUAL,"Farook College, Kozhikode",Hyundai Santro,2002),Hyundai," 55,000"
3208,PETROL,"20,000 KM",1st,AUTOMATIC,"Khidmat Nagar, Vengara",Maruti Suzuki,2017),Maruti," 4,58,000"
3209,DIESEL,139566.0 KM,,,"Malappuram Up Hill, Malappuram",Toyota Innova,2015),Toyota," 8,95,000"
3210,DIESEL,75000.0 KM,2nd,MANUAL,"Vadavukode, Kochi",Renault Duster,2012),Renault," 4,25,000"
3211,PETROL,72000.0 KM,1st,MANUAL,"Palat Nagar, Kozhikode",Hyundai Grand,2017),Hyundai," 4,20,000"
3212,PETROL,"108,000 KM",2nd,MANUAL,"Kakkanad, Kochi",Maruti Suzuki,2015),Maruti," 4,75,000"
3213,PETROL,"86,500 KM",1st,MANUAL,"Ernad, Manjeri",Hyundai Santro,2006),Hyundai," 1,20,000"
3214,DIESEL,"103,000 KM",1st,MANUAL,"Kasukkamkunnu, Palakkad",Honda Wr-V,2018),Honda," 8,25,000"
3215,DIESEL,"1,000 KM",1st,MANUAL,"Bypass Road, Thiruvananthapuram",Maruti Suzuki,2018),Maruti," 25,000"
3216,PETROL,"50,000 KM",1st,MANUAL,"Laksham Veedu Colony, Adoor",Fiat Punto,2010),Fiat," 2,05,000"
3217,DIESEL,"27,000 KM",1st,MANUAL,"Palat Nagar, Kozhikode",Toyota Etios,2018),Toyota," 7,65,000"
3218,PETROL,96000.0 KM,2nd,MANUAL,"Yakkara, Palakkad",Hyundai Santro,2006),Hyundai," 89,000"
3219,PETROL,"72,000 KM",2nd,MANUAL,"Pazhakutty, Nedumangad",Maruti Suzuki,2008),Maruti," 87,000"
3220,PETROL,38000.0 KM,1st,MANUAL,"Malappuram Up Hill, Malappuram",Maruti Suzuki,2018),Maruti," 6,10,000"
3221,LPG,95000.0 KM,,MANUAL,"Yakkara, Palakkad",Maruti Suzuki,2006),Maruti," 78,000"
3222,PETROL,"71,000 KM",2nd,MANUAL,"Perambra, Kozhikode",Maruti Suzuki,2012),Maruti," 1,80,000"
3223,DIESEL,"131,000 KM",2nd,MANUAL,"Palarivattom, Kochi",Toyota Fortuner,2013),Toyota," 16,50,000"
3224,PETROL,50000.0 KM,2nd,MANUAL,Puthencruz,Nissan Micra,2015),Nissan," 3,60,000"
3225,PETROL,"70,000 KM",1st,AUTOMATIC,"Puthiyapalli, Kaipamangalam",Hyundai Eon,2015),Hyundai," 2,00,000"
3226,DIESEL,"39,000 KM",2nd,MANUAL,"Puthiyakavu, Karunagappally",Mahindra Others,2018),Mahindra," 3,15,000"
3227,DIESEL,"114,000 KM",2nd,MANUAL,"Pazhavangadi, Thiruvananthapuram",Mahindra Bolero,2017),Mahindra," 5,75,000"
3228,PETROL,80000.0 KM,1st,MANUAL,"Tharekkad, Palakkad",Maruti Suzuki,2010),Maruti," 2,78,000"
3229,PETROL,77393.0 KM,1st,MANUAL,"Mebaram, Thazhuthala",Maruti Suzuki,2014),Maruti," 4,95,000"
3230,DIESEL,92000.0 KM,1st,AUTOMATIC,"Maradu, Kochi",Mercedes-Benz S-Class,2015),Mercedes-Benz," 56,00,000"
3231,DIESEL,102000.0 KM,2nd,MANUAL,"Kakkanad, Kochi",Hyundai I20,2013),Hyundai," 3,50,000"
3232,DIESEL,115000.0 KM,1st,MANUAL,"Nandavanam, Thiruvananthapuram",Honda City,2015),Honda," 6,65,000"
3233,DIESEL,120000.0 KM,4th,MANUAL,"Nandavanam, Thiruvananthapuram",Mitsubishi Lancer,2009),Mitsubishi," 1,45,000"
